cine,pelicula,modalidad,tipo_entrada,precio,beneficio
Cinemark Gamarra,Cadaver De La Novia,2D,PROMO ONLINE,8.50,GENERAL
Cinemark Gamarra,Cadaver De La Novia,2D,PERSONA CON DISCAPACIDAD,12.40,GENERAL
Cinemark Gamarra,Cadaver De La Novia,2D,SILLA DE RUEDAS,12.40,GENERAL
Cinemark Gamarra,Cadaver De La Novia,2D,ADULTO,15.00,GENERAL
Cinemark Gamarra,Cadaver De La Novia,2D,NIÑO,15.00,GENERAL
Cinemark Gamarra,Cadaver De La Novia,2D,50% DCTO BANCO RIPLEY,8.50,GENERAL
Cinemark Gamarra,Cadaver De La Novia,2D,BANCO FALABELLA,11.90,GENERAL
Cinemark Gamarra,Cadaver De La Novia,2D,50% DCTO BANCO RIPLEY,8.50,CONVENIOS
Cinemark Gamarra,Cadaver De La Novia,2D,BANCO FALABELLA,11.90,CONVENIOS
Cinemark Jockey Plaza,Cadaver De La Novia,2D,PROMO ONLINE,14.80,GENERAL
Cinemark Jockey Plaza,Cadaver De La Novia,2D,PERSONA CON DISCAPACIDAD,20.50,GENERAL
Cinemark Jockey Plaza,Cadaver De La Novia,2D,SILLA DE RUEDAS,20.50,GENERAL
Cinemark Jockey Plaza,Cadaver De La Novia,2D,NIÑO,25.10,GENERAL
Cinemark Jockey Plaza,Cadaver De La Novia,2D,ADULTO,27.60,GENERAL
Cinemark Jockey Plaza,Cadaver De La Novia,2D,BANCO FALABELLA,11.90,GENERAL
Cinemark Jockey Plaza,Cadaver De La Novia,2D,50% DCTO BANCO RIPLEY,14.80,GENERAL
Cinemark Jockey Plaza,Cadaver De La Novia,2D,BANCO FALABELLA,11.90,CONVENIOS
Cinemark Jockey Plaza,Cadaver De La Novia,2D,50% DCTO BANCO RIPLEY,14.80,CONVENIOS
